source,target,value
Gary Johnson,Marijuana,5
Mike Pence,Marijuana,0
Tim Kaine,Marijuana,0
Donald Trump,Medicaid,3
Hillary Clinton,Medicaid,2
Jill Stein,Medicaid,0
Gary Johnson,Medicaid,0
Mike Pence,Medicaid,4
Tim Kaine,Medicaid,6
Donald Trump,Medicare,3
Hillary Clinton,Medicare,3
Jill Stein,Medicare,13
Gary Johnson,Medicare,1
Mike Pence,Medicare,0
Tim Kaine,Medicare,0
Donald Trump,Native American,6
Hillary Clinton,Native American,0
Jill Stein,Native American,14
Gary Johnson,Native American,0
Mike Pence,Native American,0
Tim Kaine,Native American,7
Donald Trump,Obamacare,68
Hillary Clinton,Obamacare,2
Jill Stein,Obamacare,2
Gary Johnson,Obamacare,0
Mike Pence,Obamacare,1
Tim Kaine,Obamacare,0
Donald Trump,Patriot Act,0
Hillary Clinton,Patriot Act,0
Jill Stein,Patriot Act,1
Gary Johnson,Patriot Act,0
Mike Pence,Patriot Act,0
Tim Kaine,Patriot Act,0
Donald Trump,Police,30
Hillary Clinton,Police,17
Jill Stein,Police,81
Gary Johnson,Police,10
Mike Pence,Police,1
Tim Kaine,Police,5
Donald Trump,Racism,6
Hillary Clinton,Racism,44
Jill Stein,Racism,45
Gary Johnson,Racism,0
Mike Pence,Racism,0
Tim Kaine,Racism,2
Donald Trump,Social Security,6
Hillary Clinton,Social Security,1
Jill Stein,Social Security,4
Gary Johnson,Social Security,0
Mike Pence,Social Security,0
Tim Kaine,Social Security,0
Donald Trump,Supreme Court,6
Hillary Clinton,Supreme Court,23
Jill Stein,Supreme Court,5
Gary Johnson,Supreme Court,1
Mike Pence,Supreme Court,4
Tim Kaine,Supreme Court,0
Donald Trump,Vaccination,3
Hillary Clinton,Vaccination,0
Jill Stein,Vaccination,2
Gary Johnson,Vaccination,0
Mike Pence,Vaccination,0
Tim Kaine,Vaccination,0
Donald Trump,Veterans,50
Hillary Clinton,Veterans,25
Jill Stein,Veterans,6
Gary Johnson,Veterans,3
Mike Pence,Veterans,7
Tim Kaine,Veterans,46
Donald Trump,Climate Change,30
Hillary Clinton,Climate Change,90
Jill Stein,Climate Change,210
Gary Johnson,Climate Change,0
Mike Pence,Climate Change,2
Tim Kaine,Climate Change,11
Donald Trump,Drilling,2
Hillary Clinton,Drilling,1
Jill Stein,Drilling,4
Gary Johnson,Drilling,0
Mike Pence,Drilling,0
Tim Kaine,Drilling,1
Donald Trump,Fracking,0
Hillary Clinton,Fracking,0
Jill Stein,Fracking,42
Gary Johnson,Fracking,0
Mike Pence,Fracking,0
Tim Kaine,Fracking,0
Donald Trump,Fuel,0
Hillary Clinton,Fuel,1
Jill Stein,Fuel,41
Gary Johnson,Fuel,0
Mike Pence,Fuel,1
Tim Kaine,Fuel,2
Donald Trump,GMO,0
Hillary Clinton,GMO,0
Jill Stein,GMO,3
Gary Johnson,GMO,0
Mike Pence,GMO,0
Tim Kaine,GMO,0
Donald Trump,Oil,28
Hillary Clinton,Oil,0
Jill Stein,Oil,33
Gary Johnson,Oil,3
Mike Pence,Oil,0
Tim Kaine,Oil,4
Donald Trump,Pipeline,2
Hillary Clinton,Pipeline,2
Jill Stein,Pipeline,20
Gary Johnson,Pipeline,0
Mike Pence,Pipeline,1
Tim Kaine,Pipeline,0
Donald Trump,Renewable Energy,0
Hillary Clinton,Renewable Energy,1
Jill Stein,Renewable Energy,30
Gary Johnson,Renewable Energy,0
Mike Pence,Renewable Energy,0
Tim Kaine,Renewable Energy,2
Donald Trump,Warming,25
Hillary Clinton,Warming,2
Jill Stein,Warming,1
Gary Johnson,Warming,0
Mike Pence,Warming,0
Tim Kaine,Warming,1
Donald Trump,Africa,18
Hillary Clinton,Africa,0
Jill Stein,Africa,0
Gary Johnson,Africa,0
Mike Pence,Africa,0
Tim Kaine,Africa,2
Donald Trump,Amnesty,28
Hillary Clinton,Amnesty,0
Jill Stein,Amnesty,1
